epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.984,4.64362,4.3819,3.95339,2.64828,0.0004,0.04578,0.00021,4e-05,0.0008,0.09155,0.00043,0.00014,4.59817,3.26261,4.01876,2.85764,0.00028339,0.00028339,0.00028339
2,65.6978,4.36044,2.94568,3.81253,2.04164,0.00015,0.00032,8e-05,2e-05,0.00029,0.03063,0.00015,5e-05,4.56093,3.11898,4.0427,2.75891,0.000294642,0.000294642,0.000294642
